date,description,Train_Data_Length,Val_Data_Length,Test_Data_Length,loss,fp,fn,acc,EPOCHS,BATCH_SIZE,PREPREDICTION_LENGTH,OFFSET,POSITVE_INTERSECT_SIZE,WINDOW_SIZE,POSTIVE_EXTRACT_INTERVAL,POSITIVE_EXRTACT_END_OFFSET,CHANNELS,Train_patients,Val_patient,Test_patient
21.12.2021 15:57,50/50 advanced,2550.0,24.0,20.0,0.587,0.0,4.0,0.8,50.0,64.0,10.0,1000.0,100.0,5.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:00,50/50 advanced,2550.0,24.0,20.0,0.723,0.0,7.0,0.65,50.0,64.0,10.0,1000.0,100.0,10.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:02,50/50 advanced,2550.0,24.0,20.0,0.592,0.0,6.0,0.7,50.0,64.0,10.0,1000.0,100.0,15.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:05,50/50 advanced,2550.0,24.0,20.0,0.686,0.0,7.0,0.65,50.0,64.0,10.0,1000.0,100.0,20.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:07,50/50 advanced,2550.0,24.0,20.0,0.699,0.0,8.0,0.6,50.0,64.0,10.0,1000.0,100.0,25.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:09,50/50 advanced,2550.0,24.0,20.0,0.743,1.0,10.0,0.45,50.0,64.0,10.0,1000.0,100.0,30.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:11,50/50 advanced,2550.0,24.0,20.0,0.803,0.0,10.0,0.5,50.0,64.0,10.0,1000.0,100.0,35.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:13,50/50 advanced,2550.0,24.0,20.0,0.722,1.0,9.0,0.5,50.0,64.0,10.0,1000.0,100.0,40.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:16,50/50 advanced,2550.0,24.0,20.0,0.798,1.0,8.0,0.55,50.0,64.0,10.0,1000.0,100.0,45.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:18,50/50 advanced,2550.0,24.0,20.0,0.81,0.0,10.0,0.5,50.0,64.0,10.0,1000.0,100.0,50.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:21,50/50 advanced,2550.0,24.0,20.0,0.805,0.0,10.0,0.5,50.0,64.0,10.0,1000.0,100.0,55.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:24,50/50 advanced,2550.0,24.0,20.0,0.718,0.0,10.0,0.5,50.0,64.0,10.0,1000.0,100.0,60.0,5.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:26,50/50 advanced,922.0,24.0,20.0,0.761,1.0,3.0,0.8,50.0,64.0,10.0,1000.0,100.0,5.0,15.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:27,50/50 advanced,922.0,24.0,20.0,1.164,2.0,5.0,0.65,50.0,64.0,10.0,1000.0,100.0,10.0,15.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:29,50/50 advanced,922.0,24.0,20.0,0.712,0.0,4.0,0.8,50.0,64.0,10.0,1000.0,100.0,15.0,15.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
21.12.2021 16:30,50/50 advanced,922.0,24.0,20.0,1.055,0.0,7.0,0.65,50.0,64.0,10.0,1000.0,100.0,20.0,15.0,30.0,BVP HR TEMP,00172 00501 01097 01575 01808 01838 01844,1842,01110-ICU
