BATCH_SIZE,CHANNELS,EPOCHS,OFFSET,POSITIVE_EXRTACT_END_OFFSET,POSITVE_INTERSECT_SIZE,POSTIVE_EXTRACT_INTERVAL,PREPREDICTION_LENGTH,Test_Data_Length,Test_patient,Train_Data_Length,Train_patients,Val_Data_Length,Val_patient,WINDOW_SIZE,acc,date,description,fn,fp,loss
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,5.0,0.8,21.12.2021 16:06,50/50 advanced,4.0,0.0,0.614
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,15.0,0.7,21.12.2021 16:17,50/50 advanced,6.0,0.0,0.73
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,20.0,0.5,21.12.2021 16:23,50/50 advanced,10.0,0.0,0.7290000000000001
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,25.0,0.55,21.12.2021 16:28,50/50 advanced,9.0,0.0,0.64
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,30.0,0.55,21.12.2021 16:32,50/50 advanced,8.0,1.0,0.735
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,35.0,0.5,21.12.2021 17:22,50/50 advanced,10.0,0.0,0.6859999999999999
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,40.0,0.55,21.12.2021 17:27,50/50 advanced,9.0,0.0,0.746
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,45.0,0.55,21.12.2021 17:32,50/50 advanced,9.0,0.0,0.696
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,50.0,0.5,21.12.2021 17:46,50/50 advanced,10.0,0.0,0.8220000000000001
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,5.0,10.0,20.0,01110-ICU,2550.0,00172 00501 01097 01575 01808 01838 01844,24.0,1842,55.0,0.5,21.12.2021 17:52,50/50 advanced,10.0,0.0,0.701
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,15.0,5.0,20.0,[],1784.0,                  ,24.0,[],15.0,0.55,21.01.2022 16:06,50/50 advanced,4.0,5.0,0.716
64.0,BVP HR TEMP,50.0,1000.0,30.0,100.0,10.0,5.0,20.0,[],2602.0,                  ,24.0,[],15.0,0.7,21.01.2022 16:08,50/50 advanced,3.0,3.0,0.6
