date,description,Train_Data_Length,Val_Data_Length,Test_Data_Length,loss,fp,fn,acc,EPOCHS,BATCH_SIZE,PREPREDICTION_LENGTH,OFFSET,POSITVE_INTERSECT_SIZE,WINDOW_SIZE,POSTIVE_EXTRACT_INTERVAL,POSITIVE_EXRTACT_END_OFFSET,CHANNELS,Train_patients,Val_patient,Test_patient
25.01.2022 13:00,50/50 advanced,252.0,24.0,182.0,1.736,36.0,76.0,0.385,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP EDA,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:01,50/50 advanced,252.0,24.0,182.0,1.11,32.0,27.0,0.676,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:01,50/50 advanced,252.0,24.0,182.0,1.398,46.0,15.0,0.665,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP TEMP,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:01,50/50 advanced,250.0,24.0,182.0,0.492,28.0,10.0,0.791,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,EDA TEMP,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:02,50/50 advanced,250.0,24.0,182.0,0.387,0.0,25.0,0.863,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,EDA HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:03,50/50 advanced,242.0,24.0,182.0,0.693,26.0,12.0,0.791,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:03,50/50 advanced,252.0,24.0,182.0,1.204,41.0,15.0,0.692,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP EDA TEMP,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:04,50/50 advanced,252.0,24.0,182.0,1.05,22.0,24.0,0.747,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP EDA HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:05,50/50 advanced,252.0,24.0,182.0,0.843,13.0,17.0,0.835,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:06,50/50 advanced,250.0,24.0,182.0,0.652,24.0,12.0,0.802,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:06,50/50 advanced,252.0,24.0,182.0,1.191,29.0,16.0,0.753,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,BVP EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
