date,description,Train_Data_Length,Val_Data_Length,Test_Data_Length,loss,fp,fn,acc,EPOCHS,BATCH_SIZE,PREPREDICTION_LENGTH,OFFSET,POSITVE_INTERSECT_SIZE,WINDOW_SIZE,POSTIVE_EXTRACT_INTERVAL,POSITIVE_EXRTACT_END_OFFSET,CHANNELS,Train_patients,Val_patient,Test_patient
25.01.2022 13:34,50/50 advanced,9614.0,24.0,182.0,0.605,0.0,64.0,0.648,50.0,64.0,15.0,1000.0,100.0,35.0,1.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:36,50/50 advanced,1980.0,24.0,182.0,0.682,19.0,76.0,0.478,50.0,64.0,15.0,1000.0,100.0,35.0,5.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:37,50/50 advanced,1024.0,24.0,182.0,0.408,5.0,14.0,0.896,50.0,64.0,15.0,1000.0,100.0,35.0,10.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:38,50/50 advanced,706.0,24.0,182.0,0.554,10.0,16.0,0.857,50.0,64.0,15.0,1000.0,100.0,35.0,15.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:39,50/50 advanced,550.0,24.0,182.0,0.435,19.0,13.0,0.824,50.0,64.0,15.0,1000.0,100.0,35.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 13:59,50/50 advanced,456.0,24.0,182.0,0.383,2.0,21.0,0.874,50.0,64.0,15.0,1000.0,100.0,35.0,25.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:02,50/50 advanced,388.0,24.0,182.0,0.58,14.0,13.0,0.852,50.0,64.0,15.0,1000.0,100.0,35.0,30.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:03,50/50 advanced,338.0,24.0,182.0,0.726,12.0,18.0,0.835,50.0,64.0,15.0,1000.0,100.0,35.0,35.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:04,50/50 advanced,314.0,24.0,182.0,0.528,21.0,14.0,0.808,50.0,64.0,15.0,1000.0,100.0,35.0,40.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:05,50/50 advanced,280.0,24.0,182.0,1.027,26.0,13.0,0.786,50.0,64.0,15.0,1000.0,100.0,35.0,45.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:05,50/50 advanced,266.0,24.0,182.0,0.764,23.0,14.0,0.797,50.0,64.0,15.0,1000.0,100.0,35.0,50.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:06,50/50 advanced,250.0,24.0,182.0,0.595,28.0,12.0,0.78,50.0,64.0,15.0,1000.0,100.0,35.0,55.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:08,50/50 advanced,244.0,24.0,182.0,0.445,26.0,11.0,0.797,50.0,64.0,15.0,1000.0,100.0,35.0,60.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:08,50/50 advanced,232.0,24.0,182.0,0.572,16.0,13.0,0.841,50.0,64.0,15.0,1000.0,100.0,35.0,65.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:09,50/50 advanced,210.0,24.0,182.0,0.714,26.0,12.0,0.791,50.0,64.0,15.0,1000.0,100.0,35.0,70.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
