date,description,Train_Data_Length,Val_Data_Length,Test_Data_Length,loss,fp,fn,acc,EPOCHS,BATCH_SIZE,PREPREDICTION_LENGTH,OFFSET,POSITVE_INTERSECT_SIZE,WINDOW_SIZE,POSTIVE_EXTRACT_INTERVAL,POSITIVE_EXRTACT_END_OFFSET,CHANNELS,Train_patients,Val_patient,Test_patient
25.01.2022 14:56,50/50 advanced,550.0,24.0,182.0,0.481,22.0,13.0,0.808,50.0,64.0,10.0,1000.0,100.0,10.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:57,50/50 advanced,550.0,24.0,182.0,0.445,20.0,13.0,0.819,50.0,64.0,10.0,1000.0,100.0,15.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:57,50/50 advanced,550.0,24.0,182.0,0.409,11.0,15.0,0.857,50.0,64.0,10.0,1000.0,100.0,20.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:58,50/50 advanced,550.0,24.0,182.0,0.374,11.0,15.0,0.857,50.0,64.0,10.0,1000.0,100.0,25.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:59,50/50 advanced,550.0,24.0,182.0,0.401,13.0,14.0,0.852,50.0,64.0,10.0,1000.0,100.0,30.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 14:59,50/50 advanced,550.0,24.0,182.0,0.422,17.0,14.0,0.83,50.0,64.0,10.0,1000.0,100.0,35.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 15:00,50/50 advanced,550.0,24.0,182.0,0.347,10.0,13.0,0.874,50.0,64.0,10.0,1000.0,100.0,40.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 15:01,50/50 advanced,550.0,24.0,182.0,0.499,19.0,14.0,0.819,50.0,64.0,10.0,1000.0,100.0,45.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 15:02,50/50 advanced,550.0,24.0,182.0,0.496,2.0,15.0,0.907,50.0,64.0,10.0,1000.0,100.0,45.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
25.01.2022 15:03,50/50 advanced,550.0,24.0,182.0,0.498,8.0,15.0,0.874,50.0,64.0,10.0,1000.0,100.0,45.0,20.0,30.0,EDA TEMP HR,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],"['MSEL_01110-ICU', 'MSEL_01575']"
